GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_INC1,HH_INC2,HH_INC3,HH_INC4,HH_INC5,HH_INC6,HH_INC7,HH_INC8,HH_INC9,HH_INC10,HH_INC11,HH_INC12,HH_INC13,HH_INC14,HH_INC15,HH_INC16
12020,310M100US12020,"Athens-Clarke County, GA Metro Area",67266,9318,4626,4180,4630,3392,3624,3389,3076,2586,5196,5919,6758,3799,2293,2348,2132
12060,310M100US12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1874002,117326,80615,80973,86347,86640,97533,87719,96142,80083,156745,203337,246691,163119,97215,98207,95310
12100,310M100US12100,"Atlantic City-Hammonton, NJ Metro Area",101645,6723,5320,4941,4840,5159,5335,5343,4467,4340,8534,10419,14818,8565,4659,4764,3418
12220,310M100US12220,"Auburn-Opelika, AL Metro Area",54016,6695,4181,3854,3317,3200,2723,2587,2259,2281,4248,5484,5652,3218,1840,1421,1056
12260,310M100US12260,"Augusta-Richmond County, GA-SC Metro Area",203083,20148,13767,12519,11649,11902,11798,11233,9655,8290,16738,20694,23598,13436,6721,6071,4864
12420,310M100US12420,"Austin-Round Rock-San Marcos, TX Metro Area",620073,40410,25816,25724,28992,30190,30681,29969,31645,25046,52216,65991,80244,56281,31919,33137,31812
12540,310M100US12540,"Bakersfield-Delano, CA Metro Area",248057,16661,18238,15049,15160,14769,13552,12880,13419,10804,19985,24229,28936,18616,10618,8738,6403
12580,310M100US12580,"Baltimore-Towson, MD Metro Area",1018225,60512,38390,38379,39050,42341,42199,41966,41471,38184,80443,104780,140109,104383,67354,72892,65772
12620,310M100US12620,"Bangor, ME Metro Area",62282,5102,4687,4313,4284,3816,3833,3175,3430,3075,5568,6238,7174,3379,1645,1500,1063
12700,310M100US12700,"Barnstable Town, MA Metro Area",98164,4781,4159,4301,4393,4190,5057,4673,5250,3781,8186,11293,14044,8906,5170,5390,4590
12940,310M100US12940,"Baton Rouge, LA Metro Area",288358,25347,17624,17387,16444,15752,15010,13383,14567,12207,23020,27137,35410,21975,12449,11636,9010
12980,310M100US12980,"Battle Creek, MI Metro Area",53925,4594,3645,3722,3332,3490,3417,3054,3157,2484,4708,5708,5884,3226,1421,1285,798
13020,310M100US13020,"Bay City, MI Metro Area",44345,3528,2588,2688,2655,2847,2659,2585,2792,2662,4233,4603,4873,2683,1339,976,634
13140,310M100US13140,"Beaumont-Port Arthur, TX Metro Area",141653,12953,9932,8979,8288,8760,7747,7018,7113,6048,11278,13857,17035,9772,5089,4660,3124
13380,310M100US13380,"Bellingham, WA Metro Area",78186,6260,4671,4167,4527,4111,4651,4149,4153,3008,6772,8626,10683,5118,3219,2156,1915
13460,310M100US13460,"Bend, OR Metro Area",63190,3274,2837,3054,3642,3862,3884,2862,3149,2919,6557,7161,8400,5238,2435,2001,1915
13740,310M100US13740,"Billings, MT Metro Area",63895,3611,3764,3737,4202,3208,4123,3620,3527,2903,5958,7022,8122,4652,2057,1911,1478
13780,310M100US13780,"Binghamton, NY Metro Area",101208,8313,6264,6373,6286,5774,6104,5387,5127,4590,8774,10837,12137,6320,3861,2895,2166
13820,310M100US13820,"Birmingham-Hoover, AL Metro Area",432183,34843,26086,25865,26095,22914,24594,22533,22044,19288,37011,42608,48920,31493,16729,16271,14889
13900,310M100US13900,"Bismarck, ND Metro Area",43725,2510,2056,2334,2833,2282,2401,2193,2125,1989,3882,4860,6601,3921,1640,1049,1049
13980,310M100US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",62034,6880,4727,4603,3959,3389,3208,3236,3315,2910,4838,6246,6903,3336,1839,1617,1028
14020,310M100US14020,"Bloomington, IN Metro Area",72896,9603,5088,4924,4476,4453,4082,3879,3480,3110,5814,6827,8194,3932,2081,1509,1444
