GEO_ID_2,GEO_ID,MSA,GQ_POP
26980,310M100US26980,"Iowa City, IA Metro Area",8866
27060,310M100US27060,"Ithaca, NY Metro Area",13483
27100,310M100US27100,"Jackson, MI Metro Area",8733
27140,310M100US27140,"Jackson, MS Metro Area",16198
27180,310M100US27180,"Jackson, TN Metro Area",3712
27260,310M100US27260,"Jacksonville, FL Metro Area",24903
27340,310M100US27340,"Jacksonville, NC Metro Area",18836
27500,310M100US27500,"Janesville, WI Metro Area",2724
27620,310M100US27620,"Jefferson City, MO Metro Area",10305
27740,310M100US27740,"Johnson City, TN Metro Area",6179
27780,310M100US27780,"Johnstown, PA Metro Area",7591
27860,310M100US27860,"Jonesboro, AR Metro Area",3387
27900,310M100US27900,"Joplin, MO Metro Area",3270
28020,310M100US28020,"Kalamazoo-Portage, MI Metro Area",9102
28100,310M100US28100,"Kankakee-Bradley, IL Metro Area",4291
28140,310M100US28140,"Kansas City, MO-KS Metro Area",27923
28420,310M100US28420,"Kennewick-Pasco-Richland, WA Metro Area",2387
28660,310M100US28660,"Killeen-Temple-Fort Hood, TX Metro Area",18666
28700,310M100US28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",6378
28740,310M100US28740,"Kingston, NY Metro Area",11995
28940,310M100US28940,"Knoxville, TN Metro Area",16489
29020,310M100US29020,"Kokomo, IN Metro Area",2856
29100,310M100US29100,"La Crosse, WI-MN Metro Area",5616
29140,310M100US29140,"Lafayette, IN Metro Area",15358
29180,310M100US29180,"Lafayette, LA Metro Area",6715
29340,310M100US29340,"Lake Charles, LA Metro Area",3323
29420,310M100US29420,"Lake Havasu City-Kingman, AZ Metro Area",3145
29460,310M100US29460,"Lakeland-Winter Haven, FL Metro Area",13151
29540,310M100US29540,"Lancaster, PA Metro Area",14429
29620,310M100US29620,"Lansing-East Lansing, MI Metro Area",22605
29700,310M100US29700,"Laredo, TX Metro Area",1332
29740,310M100US29740,"Las Cruces, NM Metro Area",5899
29820,310M100US29820,"Las Vegas-Paradise, NV Metro Area",21043
29940,310M100US29940,"Lawrence, KS Metro Area",9985
30020,310M100US30020,"Lawton, OK Metro Area",11446
30140,310M100US30140,"Lebanon, PA Metro Area",3838
