GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_FAM_2P,HH_FAM_3P,HH_FAM_4P,HH_FAM_5P,HH_FAM_6P,HH_FAM_7P,HH_NON_FAMILY,HH_NON_FAM_1P,HH_NON_FAM_2P,HH_NON_FAM_3P,HH_NON_FAM_4P,HH_NON_FAM_5P,HH_NON_FAM_6P,HH_NON_FAM_7P
11540,310M100US11540,"Appleton, WI Metro Area",87327,60294,26672,12860,13145,5169,1607,841,27033,22096,4380,506,36,12,3,0
11700,310M100US11700,"Asheville, NC Metro Area",178865,114994,59744,25723,18915,6756,2655,1201,63871,52589,9178,1353,588,122,29,12
12020,310M100US12020,"Athens-Clarke County, GA Metro Area",67266,40689,19022,9763,7068,3180,1016,640,26577,18848,5115,1325,1141,136,12,0
12060,310M100US12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1874002,1277286,496575,309251,279336,121817,45444,24863,596716,489229,86719,13787,4411,1768,591,211
12100,310M100US12100,"Atlantic City-Hammonton, NJ Metro Area",101645,67256,26452,16968,14817,5551,2207,1261,34389,29266,4266,678,92,74,13,0
12220,310M100US12220,"Auburn-Opelika, AL Metro Area",54016,32036,13889,7860,6387,2711,822,367,21980,16425,3889,1082,441,62,35,46
12260,310M100US12260,"Augusta-Richmond County, GA-SC Metro Area",203083,140260,62270,34257,26619,11169,3898,2047,62823,54774,7000,638,248,154,0,9
12420,310M100US12420,"Austin-Round Rock-San Marcos, TX Metro Area",620073,388214,155392,88605,84079,38110,13088,8940,231859,174729,45804,7141,3279,592,144,170
12540,310M100US12540,"Bakersfield-Delano, CA Metro Area",248057,185559,59602,38120,40584,26682,11618,8953,62498,50098,10133,1488,563,182,28,6
12580,310M100US12580,"Baltimore-Towson, MD Metro Area",1018225,665999,277706,163165,134324,60168,19350,11286,352226,289365,52650,7114,2310,500,154,133
12620,310M100US12620,"Bangor, ME Metro Area",62282,39470,19747,9443,7053,2314,567,346,22812,17075,4472,797,403,49,16,0
12700,310M100US12700,"Barnstable Town, MA Metro Area",98164,61766,34427,12011,9702,3875,1285,466,36398,30425,5339,522,86,16,10,0
12940,310M100US12940,"Baton Rouge, LA Metro Area",288358,193430,81188,46972,38876,17616,5699,3079,94928,77600,13708,2728,691,185,8,8
12980,310M100US12980,"Battle Creek, MI Metro Area",53925,35859,16764,8435,6652,2614,1008,386,18066,15700,1956,230,153,0,27,0
13020,310M100US13020,"Bay City, MI Metro Area",44345,29799,14221,6615,6155,1913,648,247,14546,11982,2197,282,69,7,9,0
13140,310M100US13140,"Beaumont-Port Arthur, TX Metro Area",141653,97940,42794,23775,17970,8785,3234,1382,43713,37514,5263,542,179,186,29,0
13380,310M100US13380,"Bellingham, WA Metro Area",78186,47698,22989,9588,9131,3892,1212,886,30488,22606,5801,1218,682,181,0,0
13460,310M100US13460,"Bend, OR Metro Area",63190,43434,21669,8759,8505,3472,663,366,19756,14501,4550,584,98,23,0,0
13740,310M100US13740,"Billings, MT Metro Area",63895,40841,20289,8461,7271,3049,1091,680,23054,18202,4282,414,65,91,0,0
13780,310M100US13780,"Binghamton, NY Metro Area",101208,64130,29332,14609,12414,5278,1616,881,37078,30568,5677,576,157,49,43,8
13820,310M100US13820,"Birmingham-Hoover, AL Metro Area",432183,293683,130026,74058,56443,22597,6839,3720,138500,120372,15120,2158,573,186,81,10
13900,310M100US13900,"Bismarck, ND Metro Area",43725,28450,14111,6366,5221,2080,500,172,15275,12600,2265,297,104,9,0,0
13980,310M100US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",62034,36693,18692,8408,6751,2067,508,267,25341,17551,4710,1577,1359,125,0,19
14020,310M100US14020,"Bloomington, IN Metro Area",72896,41565,21628,9180,6623,2727,928,479,31331,23054,5763,1257,868,316,51,22
14060,310M100US14060,"Bloomington-Normal, IL Metro Area",63145,39223,17406,8927,8010,3377,1034,469,23922,17833,4366,958,621,135,9,0
14260,310M100US14260,"Boise City-Nampa, ID Metro Area",221144,153721,65805,31655,30775,15093,6558,3835,67423,52037,11616,2762,514,407,14,73
14460,310M100US14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",1735175,1097113,442878,259309,248030,102352,30662,13882,638062,497598,109382,20875,7529,2017,526,135
14500,310M100US14500,"Boulder, CO Metro Area",117629,68953,30800,15414,15009,5152,1717,861,48676,34018,10626,2723,1011,246,42,10
14540,310M100US14540,"Bowling Green, KY Metro Area",46731,30385,13704,7897,5973,1931,566,314,16346,12890,2368,577,488,13,0,10
