GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_MAR_FAM,HH_OTHER_FAM,HH_MALE_FAM,HH_FEMALE_FAM,HH_NON_FAMILY,HH_LIVING_ALONE,HH_NOT_LIVING_ALONE
22500,310M100US22500,"Florence, SC Metro Area",77441,53420,34981,18439,3883,14556,24021,21125,2896
22520,310M100US22520,"Florence-Muscle Shoals, AL Metro Area",59878,40722,31599,9123,2087,7036,19156,17066,2090
22540,310M100US22540,"Fond du Lac, WI Metro Area",40484,27406,22281,5125,1697,3428,13078,11107,1971
22660,310M100US22660,"Fort Collins-Loveland, CO Metro Area",117415,74324,60833,13491,4151,9340,43091,30621,12470
22900,310M100US22900,"Fort Smith, AR-OK Metro Area",112174,79007,59915,19092,5136,13956,33167,28670,4497
23060,310M100US23060,"Fort Wayne, IN Metro Area",159781,106737,81241,25496,6087,19409,53044,44245,8799
23420,310M100US23420,"Fresno, CA Metro Area",283836,205821,140779,65042,18916,46126,78015,61487,16528
23460,310M100US23460,"Gadsden, AL Metro Area",41584,28868,20990,7878,2348,5530,12716,11654,1062
23540,310M100US23540,"Gainesville, FL Metro Area",103516,56466,39281,17185,4110,13075,47050,33562,13488
23580,310M100US23580,"Gainesville, GA Metro Area",60173,45172,34220,10952,3301,7651,15001,12075,2926
24020,310M100US24020,"Glens Falls, NY Metro Area",53136,35107,27022,8085,2691,5394,18029,14815,3214
24140,310M100US24140,"Goldsboro, NC Metro Area",46280,32101,22711,9390,2019,7371,14179,12174,2005
24220,310M100US24220,"Grand Forks, ND-MN Metro Area",39023,22957,18588,4369,1080,3289,16066,12219,3847
24300,310M100US24300,"Grand Junction, CO Metro Area",57123,37953,30283,7670,2544,5126,19170,15168,4002
24340,310M100US24340,"Grand Rapids-Wyoming, MI Metro Area",291617,199474,152402,47072,12289,34783,92143,74542,17601
24500,310M100US24500,"Great Falls, MT Metro Area",33164,21965,17401,4564,1327,3237,11199,9514,1685
24540,310M100US24540,"Greeley, CO Metro Area",86776,62004,49685,12319,3897,8422,24772,19086,5686
24580,310M100US24580,"Green Bay, WI Metro Area",121653,80745,63588,17157,5115,12042,40908,32862,8046
24660,310M100US24660,"Greensboro-High Point, NC Metro Area",282317,184695,132563,52132,13078,39054,97622,82371,15251
24780,310M100US24780,"Greenville, NC Metro Area",71026,42486,29129,13357,2681,10676,28540,21732,6808
24860,310M100US24860,"Greenville-Mauldin-Easley, SC Metro Area",240864,159700,118826,40874,10028,30846,81164,68864,12300
25060,310M100US25060,"Gulfport-Biloxi, MS Metro Area",88803,61611,42499,19112,4954,14158,27192,22166,5026
25180,310M100US25180,"Hagerstown-Martinsburg, MD-WV Metro Area",101217,68374,52415,15959,4581,11378,32843,27530,5313
25260,310M100US25260,"Hanford-Corcoran, CA Metro Area",40606,31777,23804,7973,2846,5127,8829,7278,1551
25420,310M100US25420,"Harrisburg-Carlisle, PA Metro Area",219490,140552,108815,31737,8017,23720,78938,65535,13403
25500,310M100US25500,"Harrisonburg, VA Metro Area",44666,29103,23144,5959,1953,4006,15563,11015,4548
25540,310M100US25540,"Hartford-West Hartford-East Hartford, CT Metro Area",469052,310244,231455,78789,19215,59574,158808,130317,28491
25620,310M100US25620,"Hattiesburg, MS Metro Area",53213,34553,24657,9896,2331,7565,18660,15026,3634
25860,310M100US25860,"Hickory-Lenoir-Morganton, NC Metro Area",138854,94850,73095,21755,5842,15913,44004,37919,6085
25980,310M100US25980,"Hinesville-Fort Stewart, GA Metro Area",27179,19855,13604,6251,1065,5186,7324,6251,1073
26100,310M100US26100,"Holland-Grand Haven, MI Metro Area",92526,68045,57956,10089,2727,7362,24481,19421,5060
26180,310M100US26180,"Honolulu, HI Metro Area",304827,215363,160505,54858,16457,38401,89464,70960,18504
26300,310M100US26300,"Hot Springs, AR Metro Area",40146,25731,19464,6267,1520,4747,14415,12705,1710
26380,310M100US26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",72186,52673,38497,14176,3228,10948,19513,15428,4085
26420,310M100US26420,"Houston-Sugar Land-Baytown, TX Metro Area",1966846,1399621,1017362,382259,105340,276919,567225,469041,98184
26580,310M100US26580,"Huntington-Ashland, WV-KY-OH Metro Area",115862,76428,57419,19009,4684,14325,39434,34174,5260
26620,310M100US26620,"Huntsville, AL Metro Area",156592,105658,80771,24887,6160,18727,50934,44323,6611
26820,310M100US26820,"Idaho Falls, ID Metro Area",43139,32767,27143,5624,1519,4105,10372,8657,1715
26900,310M100US26900,"Indianapolis-Carmel, IN Metro Area",661968,439357,325240,114117,28286,85831,222611,184275,38336
26980,310M100US26980,"Iowa City, IA Metro Area",59752,33291,26837,6454,1893,4561,26461,18249,8212
27060,310M100US27060,"Ithaca, NY Metro Area",38446,19798,16231,3567,938,2629,18648,12533,6115
27100,310M100US27100,"Jackson, MI Metro Area",60612,41508,31340,10168,2634,7534,19104,16061,3043
27140,310M100US27140,"Jackson, MS Metro Area",195301,133588,86982,46606,10012,36594,61713,53437,8276
27180,310M100US27180,"Jackson, TN Metro Area",43007,29247,20713,8534,1576,6958,13760,12409,1351
27260,310M100US27260,"Jacksonville, FL Metro Area",503657,334850,244845,90005,21826,68179,168807,137068,31739
