GEO_ID_2,GEO_ID,MSA,GQ_POP
16700,310M200US16700,"Charleston-North Charleston, SC Metro Area",17381
16740,310M200US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",34348
16820,310M200US16820,"Charlottesville, VA Metro Area",14217
16860,310M200US16860,"Chattanooga, TN-GA Metro Area",14263
16940,310M200US16940,"Cheyenne, WY Metro Area",1857
16980,310M200US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",156637
17020,310M200US17020,"Chico, CA Metro Area",5421
17140,310M200US17140,"Cincinnati, OH-KY-IN Metro Area",45896
17300,310M200US17300,"Clarksville, TN-KY Metro Area",9630
17420,310M200US17420,"Cleveland, TN Metro Area",3142
17460,310M200US17460,"Cleveland-Elyria, OH Metro Area",43773
17660,310M200US17660,"Coeur d'Alene, ID Metro Area",1680
17780,310M200US17780,"College Station-Bryan, TX Metro Area",15091
17820,310M200US17820,"Colorado Springs, CO Metro Area",16851
17860,310M200US17860,"Columbia, MO Metro Area",9384
17900,310M200US17900,"Columbia, SC Metro Area",35607
17980,310M200US17980,"Columbus, GA-AL Metro Area",14806
18020,310M200US18020,"Columbus, IN Metro Area",996
18140,310M200US18140,"Columbus, OH Metro Area",49523
18580,310M200US18580,"Corpus Christi, TX Metro Area",8486
18700,310M200US18700,"Corvallis, OR Metro Area",5257
18880,310M200US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",7374
19060,310M200US19060,"Cumberland, MD-WV Metro Area",8408
19100,310M200US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",83105
19140,310M200US19140,"Dalton, GA Metro Area",1381
19180,310M200US19180,"Danville, IL Metro Area",2467
19300,310M200US19300,"Daphne-Fairhope-Foley, AL Metro Area",2781
19340,310M200US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",8700
19380,310M200US19380,"Dayton, OH Metro Area",27758
19460,310M200US19460,"Decatur, AL Metro Area",2021
19500,310M200US19500,"Decatur, IL Metro Area",3573
19660,310M200US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",10860
19740,310M200US19740,"Denver-Aurora-Lakewood, CO Metro Area",33842
19780,310M200US19780,"Des Moines-West Des Moines, IA Metro Area",11983
19820,310M200US19820,"Detroit-Warren-Dearborn, MI Metro Area",46610
20020,310M200US20020,"Dothan, AL Metro Area",1459
20100,310M200US20100,"Dover, DE Metro Area",5162
20220,310M200US20220,"Dubuque, IA Metro Area",4411
20260,310M200US20260,"Duluth, MN-WI Metro Area",12631
20500,310M200US20500,"Durham-Chapel Hill, NC Metro Area",25360
20700,310M200US20700,"East Stroudsburg, PA Metro Area",2506
20740,310M200US20740,"Eau Claire, WI Metro Area",6856
20940,310M200US20940,"El Centro, CA Metro Area",10633
21060,310M200US21060,"Elizabethtown-Fort Knox, KY Metro Area",3733
21140,310M200US21140,"Elkhart-Goshen, IN Metro Area",3592
21300,310M200US21300,"Elmira, NY Metro Area",5593
21340,310M200US21340,"El Paso, TX Metro Area",15095
21500,310M200US21500,"Erie, PA Metro Area",12599
21660,310M200US21660,"Eugene, OR Metro Area",7958
21780,310M200US21780,"Evansville, IN-KY Metro Area",9463
21820,310M200US21820,"Fairbanks, AK Metro Area",4009
22020,310M200US22020,"Fargo, ND-MN Metro Area",8976
22140,310M200US22140,"Farmington, NM Metro Area",1717
22180,310M200US22180,"Fayetteville, NC Metro Area",11618
22220,310M200US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",10750
22380,310M200US22380,"Flagstaff, AZ Metro Area",10661
22420,310M200US22420,"Flint, MI Metro Area",5453
22500,310M200US22500,"Florence, SC Metro Area",4427
22520,310M200US22520,"Florence-Muscle Shoals, AL Metro Area",2474
22540,310M200US22540,"Fond du Lac, WI Metro Area",3393
22660,310M200US22660,"Fort Collins, CO Metro Area",9115
22900,310M200US22900,"Fort Smith, AR-OK Metro Area",4164
23060,310M200US23060,"Fort Wayne, IN Metro Area",6673
23420,310M200US23420,"Fresno, CA Metro Area",17960
23460,310M200US23460,"Gadsden, AL Metro Area",1476
23540,310M200US23540,"Gainesville, FL Metro Area",17421
23580,310M200US23580,"Gainesville, GA Metro Area",2222
23900,310M200US23900,"Gettysburg, PA Metro Area",4190
24020,310M200US24020,"Glens Falls, NY Metro Area",4032
24140,310M200US24140,"Goldsboro, NC Metro Area",2895
24220,310M200US24220,"Grand Forks, ND-MN Metro Area",6186
24260,310M200US24260,"Grand Island, NE Metro Area",1291
24300,310M200US24300,"Grand Junction, CO Metro Area",3688
24340,310M200US24340,"Grand Rapids-Wyoming, MI Metro Area",23169
24420,310M200US24420,"Grants Pass, OR Metro Area",1223
24500,310M200US24500,"Great Falls, MT Metro Area",2696
24540,310M200US24540,"Greeley, CO Metro Area",6499
24580,310M200US24580,"Green Bay, WI Metro Area",7709
24660,310M200US24660,"Greensboro-High Point, NC Metro Area",18864
