GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_FAM_2P,HH_FAM_3P,HH_FAM_4P,HH_FAM_5P,HH_FAM_6P,HH_FAM_7P,HH_NON_FAMILY,HH_NON_FAM_1P,HH_NON_FAM_2P,HH_NON_FAM_3P,HH_NON_FAM_4P,HH_NON_FAM_5P,HH_NON_FAM_6P,HH_NON_FAM_7P
17460,310M200US17460,"Cleveland-Elyria, OH Metro Area",847608,521209,241245,121444,94522,41114,14799,8085,326399,281317,39529,4164,954,324,38,73
17660,310M200US17660,"Coeur d'Alene, ID Metro Area",56421,38705,18775,8139,6767,3098,964,962,17716,13957,3199,298,130,118,0,14
17780,310M200US17780,"College Station-Bryan, TX Metro Area",86324,49315,21395,11193,9575,4526,1748,878,37009,23943,8450,2346,2068,165,37,0
17820,310M200US17820,"Colorado Springs, CO Metro Area",254868,174943,76467,39346,34918,15403,5856,2953,79925,64854,12322,1892,707,122,9,19
17860,310M200US17860,"Columbia, MO Metro Area",66980,38235,17272,9044,7520,3004,838,557,28745,19783,6031,1504,1225,193,9,0
17900,310M200US17900,"Columbia, SC Metro Area",297977,192940,87064,47507,35823,15403,4649,2494,105037,86568,14667,2333,1322,138,9,0
17980,310M200US17980,"Columbus, GA-AL Metro Area",112225,73734,31687,18130,14298,6172,2161,1286,38491,33230,4032,706,362,101,19,41
18020,310M200US18020,"Columbus, IN Metro Area",30518,20612,9591,4420,4070,1450,693,388,9906,8315,1368,140,83,0,0,0
18140,310M200US18140,"Columbus, OH Metro Area",756520,480828,204436,113920,97078,42980,14830,7584,275692,219370,47023,6091,1966,630,285,327
18580,310M200US18580,"Corpus Christi, TX Metro Area",159363,110737,44860,26347,20245,12169,4217,2899,48626,38705,8746,897,116,109,12,41
18700,310M200US18700,"Corvallis, OR Metro Area",33840,18837,9390,4138,3263,1392,517,137,15003,9748,3665,883,470,230,4,3
18880,310M200US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",98374,64717,32173,14501,11094,4900,1242,807,33657,28116,4606,757,153,25,0,0
19060,310M200US19060,"Cumberland, MD-WV Metro Area",39589,23667,12247,5165,3759,1562,675,259,15922,13802,1693,309,92,26,0,0
19100,310M200US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2407330,1671492,626631,387413,361964,180536,71386,43562,735838,602254,113091,14250,4581,1268,275,119
19140,310M200US19140,"Dalton, GA Metro Area",48811,35878,13332,8529,7117,3853,2014,1033,12933,10659,1874,295,62,43,0,0
19180,310M200US19180,"Danville, IL Metro Area",31531,20188,9710,4782,3329,1325,706,336,11343,9760,1311,131,116,8,0,17
19300,310M200US19300,"Daphne-Fairhope-Foley, AL Metro Area",74104,50276,27710,9807,7535,3461,1315,448,23828,20773,2398,477,149,19,0,12
19340,310M200US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",154877,98409,47574,21079,17794,8185,2479,1298,56468,48033,7289,860,209,57,4,16
19380,310M200US19380,"Dayton, OH Metro Area",328004,203927,96668,46937,36453,15497,5494,2878,124077,105511,15628,2130,506,182,101,19
19460,310M200US19460,"Decatur, AL Metro Area",59772,41298,20431,9365,7400,2546,965,591,18474,16421,1682,298,73,0,0,0
19500,310M200US19500,"Decatur, IL Metro Area",44915,27658,14017,5991,4636,1834,846,334,17257,14951,1918,217,94,53,0,24
19660,310M200US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",237130,149233,81994,31732,21675,9076,3213,1543,87897,71826,14350,1305,302,93,0,21
