GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_MAR_FAM,HH_OTHER_FAM,HH_MALE_FAM,HH_FEMALE_FAM,HH_NON_FAMILY,HH_LIVING_ALONE,HH_NOT_LIVING_ALONE
14020,310M200US14020,"Bloomington, IN Metro Area",62718,33796,25493,8303,2313,5990,28922,20071,8851
14100,310M200US14100,"Bloomsburg-Berwick, PA Metro Area",33558,21422,16744,4678,1384,3294,12136,9508,2628
14260,310M200US14260,"Boise City, ID Metro Area",236303,161047,126305,34742,11419,23323,75256,60473,14783
14460,310M200US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",1776440,1129245,848964,280281,69128,211153,647195,499982,147213
14500,310M200US14500,"Boulder, CO Metro Area",122516,72418,58291,14127,4683,9444,50098,33899,16199
14540,310M200US14540,"Bowling Green, KY Metro Area",62996,41939,31577,10362,3020,7342,21057,16727,4330
14740,310M200US14740,"Bremerton-Silverdale, WA Metro Area",97739,65501,51661,13840,4481,9359,32238,25645,6593
14860,310M200US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",334320,232921,177986,54935,13651,41284,101399,83773,17626
15180,310M200US15180,"Brownsville-Harlingen, TX Metro Area",121097,95991,63544,32447,6896,25551,25106,22216,2890
15260,310M200US15260,"Brunswick, GA Metro Area",44188,30332,21015,9317,2247,7070,13856,12008,1848
15380,310M200US15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",470653,284789,200188,84601,20992,63609,185864,156084,29780
15500,310M200US15500,"Burlington, NC Metro Area",61545,40938,28800,12138,3245,8893,20607,17811,2796
15540,310M200US15540,"Burlington-South Burlington, VT Metro Area",85148,52010,41474,10536,3321,7215,33138,22707,10431
15680,310M200US15680,"California-Lexington Park, MD Metro Area",38243,27741,22004,5737,1622,4115,10502,8430,2072
15940,310M200US15940,"Canton-Massillon, OH Metro Area",161357,106626,79225,27401,8062,19339,54731,46201,8530
15980,310M200US15980,"Cape Coral-Fort Myers, FL Metro Area",252287,165635,128150,37485,10767,26718,86652,71171,15481
16020,310M200US16020,"Cape Girardeau, MO-IL Metro Area",37192,23995,18618,5377,1370,4007,13197,10723,2474
16060,310M200US16060,"Carbondale-Marion, IL Metro Area",50186,30141,22755,7386,1858,5528,20045,16135,3910
16180,310M200US16180,"Carson City, NV Metro Area",21594,13012,9272,3740,966,2774,8582,7035,1547
16220,310M200US16220,"Casper, WY Metro Area",32131,20267,15141,5126,2098,3028,11864,9615,2249
16300,310M200US16300,"Cedar Rapids, IA Metro Area",105643,67536,53462,14074,4168,9906,38107,30250,7857
16540,310M200US16540,"Chambersburg-Waynesboro, PA Metro Area",58570,40598,32335,8263,2728,5535,17972,15338,2634
16580,310M200US16580,"Champaign-Urbana, IL Metro Area",92183,50887,38798,12089,2929,9160,41296,30449,10847
