Risk_Score,Race,Gender,Age_Cat,Edu_Cat,Htn,Freq_nhanes,Mean_Tchols,Err_Tchols,Mean_HDL,Err_HDL,Mean_bp,Err_bp,smoking_stat
20,WhiteNH,Male,Age_35_44,some_coll_,1,3.40208,252.5995816,2.120080259,62.93834499,1.390630206,108.9371502,0.68469035,0
21,WhiteNH,Male,Age_35_44,some_coll_,1,0.0360011,176.7217218,1.517475188,37.50168851,0.450975672,109.8214972,0.433335508,0
22,WhiteNH,Male,Age_35_44,some_coll_,1,18.2538,186.6346328,1.979737425,61.82705303,1.06553168,134.3023276,0.770678347,1
23,WhiteNH,Male,Age_35_44,some_coll_,1,0,254.7722893,3.775250349,60.98619075,2.004208817,108.7644042,0.983430052,1
24,WhiteNH,Male,Age_35_44,some_coll_,1,18.6696,179.5058628,2.29396648,36.12790366,0.598966531,108.8516209,0.795507484,1
25,WhiteNH,Male,Age_35_44,some_coll_,1,107.847,182.0994516,1.376615319,36.84857943,0.522149962,131.4318904,0.46407754,0
26,WhiteNH,Male,Age_35_44,some_coll_,1,0.00846893,256.2273172,2.789841558,36.75768338,0.917705239,109.882458,0.857557756,0
27,WhiteNH,Male,Age_35_44,some_coll_,1,6.57587,259.3118254,2.442701521,65.34841435,1.230714769,133.4920091,0.741410047,0
28,WhiteNH,Male,Age_35_44,some_coll_,1,0.0201838,260.2952046,3.758221736,64.80538657,2.06443127,140.2912795,2.39059011,1
29,WhiteNH,Male,Age_35_44,some_coll_,1,26.7751,181.9633676,2.32603041,35.49788666,0.675974927,132.8868055,0.808446171,1
30,WhiteNH,Male,Age_35_44,some_coll_,1,1.20363,265.437488,3.257926658,36.21727717,1.050370011,110.2669734,0.980791716,1
31,WhiteNH,Male,Age_35_44,some_coll_,1,15.6227,264.4639886,3.530018157,36.56085876,0.614827542,134.5767034,1.259808139,0
32,WhiteNH,Male,Age_35_44,some_coll_,1,5.06E-05,264.8386996,3.570849211,35.61193481,1.121743993,134.2537586,2.892087005,1
1,WhiteNH,Male,Age_45_54,HS_or_less,0,14.2168,192.8710817,1.219829995,61.31360654,0.592453409,108.832105,0.455808774,0
2,WhiteNH,Male,Age_45_54,HS_or_less,0,14.8393,194.972129,2.199656261,61.38817303,0.923627799,109.3293994,0.748374483,1
3,WhiteNH,Male,Age_45_54,HS_or_less,0,31.9475,197.9361166,1.164150522,60.95647295,0.701434818,132.9485572,0.576566557,0
4,WhiteNH,Male,Age_45_54,HS_or_less,0,11.0355,261.6893072,1.94566828,64.04948696,1.229764047,109.7497321,0.584548936,0
5,WhiteNH,Male,Age_45_54,HS_or_less,0,29.8614,185.8114474,1.611090127,38.61283048,0.449528299,110.6340791,0.408014487,0
6,WhiteNH,Male,Age_45_54,HS_or_less,0,29.2179,195.7243584,1.795762737,62.938195,1.087177662,135.1149095,0.82384452,1
7,WhiteNH,Male,Age_45_54,HS_or_less,0,6.59956,263.8620149,3.686399872,62.09733271,1.880508748,109.5769861,0.878743612,1
8,WhiteNH,Male,Age_45_54,HS_or_less,0,49.5106,188.5955884,2.176611625,37.23904562,0.435832575,109.6642028,0.672502255,1
9,WhiteNH,Male,Age_45_54,HS_or_less,0,81.411,191.1891773,1.217343015,37.9597214,0.406768517,132.2444723,0.459968924,0
10,WhiteNH,Male,Age_45_54,HS_or_less,0,8.38195,265.3170428,2.556639777,37.86882534,0.783911808,110.69504,0.855288128,0
11,WhiteNH,Male,Age_45_54,HS_or_less,0,11.9701,268.401551,2.080586335,66.45955632,1.276972605,134.304591,0.740993978,0
12,WhiteNH,Male,Age_45_54,HS_or_less,0,12.4333,269.3849302,3.550401521,65.91652853,2.069220889,141.1038614,2.385407408,1
13,WhiteNH,Male,Age_45_54,HS_or_less,0,38.3219,191.0530932,2.252490313,36.60902862,0.504050079,133.6993874,0.800496243,1
14,WhiteNH,Male,Age_45_54,HS_or_less,0,4.47447,274.5272136,3.058176641,37.32841914,0.914542982,111.0795553,0.89310596,1
15,WhiteNH,Male,Age_45_54,HS_or_less,0,20.6775,273.5537142,3.658189523,37.67200073,0.561158967,135.3892854,1.1279018,0
16,WhiteNH,Male,Age_45_54,HS_or_less,0,5.23193,273.9284252,3.476996468,36.72307678,0.999359583,135.0663405,2.855307326,1
17,WhiteNH,Male,Age_45_54,HS_or_less,1,4.06203,189.0751783,1.423875658,59.49760321,0.604436729,110.4694867,0.573036004,0
18,WhiteNH,Male,Age_45_54,HS_or_less,1,0.27905,191.1762256,2.24886394,59.5721697,0.877262951,110.9667811,0.809260246,1
19,WhiteNH,Male,Age_45_54,HS_or_less,1,12.6296,194.1402132,1.292664262,59.14046962,0.714422801,134.5859389,0.607965159,0
20,WhiteNH,Male,Age_45_54,HS_or_less,1,3.12482,257.8934038,2.101524556,62.23348363,1.326474587,111.3871138,0.672693234,0
21,WhiteNH,Male,Age_45_54,HS_or_less,1,52.2716,182.015544,1.575544829,36.79682715,0.459133172,112.2714608,0.502010079,0
22,WhiteNH,Male,Age_45_54,HS_or_less,1,0.596191,191.928455,1.874678933,61.12219167,1.070004035,136.7522911,0.725351429,1
23,WhiteNH,Male,Age_45_54,HS_or_less,1,0,260.0661115,3.796249704,60.28132938,1.886011864,111.2143678,0.913780827,1
24,WhiteNH,Male,Age_45_54,HS_or_less,1,0.0106813,184.799685,2.247140845,35.42304229,0.489323305,111.3015845,0.797348297,1
25,WhiteNH,Male,Age_45_54,HS_or_less,1,26.4152,187.3932738,1.253030381,36.14371807,0.431667242,133.881854,0.543070585,0
26,WhiteNH,Male,Age_45_54,HS_or_less,1,0.00320844,261.5211394,2.662888428,36.05282201,0.829596109,112.3324216,0.900304987,0
27,WhiteNH,Male,Age_45_54,HS_or_less,1,5.93165,264.6056475,2.36785165,64.64355299,1.228783321,135.9419727,0.745440531,0
28,WhiteNH,Male,Age_45_54,HS_or_less,1,0.0083774,265.5890268,3.726687507,64.1005252,2.07993819,142.741243,2.441166392,1
29,WhiteNH,Male,Age_45_54,HS_or_less,1,1.14772,187.2571898,2.333478081,34.79302529,0.539379976,135.3367691,0.835852674,1
30,WhiteNH,Male,Age_45_54,HS_or_less,1,0.630043,270.7313102,2.961195686,35.51241581,0.983283949,112.7169369,0.936140814,1
31,WhiteNH,Male,Age_45_54,HS_or_less,1,0.00703532,269.7578108,3.558814029,35.8559974,0.594917435,137.026667,1.245068911,0
32,WhiteNH,Male,Age_45_54,HS_or_less,1,13.6296,270.1325218,3.547412632,34.90707345,1.034983318,136.7037221,2.82275005,1
1,WhiteNH,Male,Age_45_54,some_coll_,0,106.202,193.1861191,1.102421355,63.06122405,0.529965126,107.3709575,0.376563903,0
