Race,Gender,Education,Age,Rf,ll,ul
WhiteNH,Male,HS_or_less,Age_35_44,4,107.0028465,109.4460629
WhiteNH,Male,HS_or_less,Age_35_44,5,107.9987561,109.858353
WhiteNH,Male,HS_or_less,Age_35_44,6,132.7517616,136.5841328
WhiteNH,Male,HS_or_less,Age_35_44,7,105.328494,109.6949432
WhiteNH,Male,HS_or_less,Age_35_44,8,106.9831272,109.5785056
WhiteNH,Male,HS_or_less,Age_35_44,9,131.102898,133.2890094
WhiteNH,Male,HS_or_less,Age_35_44,10,107.5827309,111.3539735
WhiteNH,Male,HS_or_less,Age_35_44,11,132.2312941,135.4805642
WhiteNH,Male,HS_or_less,Age_35_44,12,135.1581431,145.5701065
WhiteNH,Male,HS_or_less,Age_35_44,13,131.2992325,134.6301035
WhiteNH,Male,HS_or_less,Age_35_44,14,106.5761885,110.8600099
WhiteNH,Male,HS_or_less,Age_35_44,15,133.2317951,137.9040988
WhiteNH,Male,HS_or_less,Age_35_44,16,130.9777645,144.2976771
WhiteNH,Male,some_coll_,Age_35_44,1,105.5457852,106.9796145
WhiteNH,Male,some_coll_,Age_35_44,2,105.2613589,108.3929841
WhiteNH,Male,some_coll_,Age_35_44,3,130.4903866,132.4543904
WhiteNH,Male,some_coll_,Age_35_44,4,105.840726,108.3707251
WhiteNH,Male,some_coll_,Age_35_44,5,107.1439641,108.4756866
WhiteNH,Male,some_coll_,Age_35_44,6,131.8446864,135.2537496
WhiteNH,Male,some_coll_,Age_35_44,7,104.1559654,108.6300134
WhiteNH,Male,some_coll_,Age_35_44,8,105.8018011,108.5223733
WhiteNH,Male,some_coll_,Age_35_44,9,130.1603371,131.9941119
WhiteNH,Male,some_coll_,Age_35_44,10,106.5508558,110.1483902
WhiteNH,Male,some_coll_,Age_35_44,11,131.1947299,134.2796701
WhiteNH,Male,some_coll_,Age_35_44,12,134.0285928,144.4621983
WhiteNH,Male,some_coll_,Age_35_44,13,130.2373756,133.4545019
WhiteNH,Male,some_coll_,Age_35_44,14,105.4457285,109.7530116
WhiteNH,Male,some_coll_,Age_35_44,15,131.9939872,136.9044483
WhiteNH,Male,some_coll_,Age_35_44,16,129.8357855,143.2021977
WhiteNH,Male,HS_or_less,Age_45_54,1,107.1932141,109.0550337
