Risk_Score,Race,Gender,Age_Cat,Edu_Cat,Freq_nhanes,Mean_Tchols,Err_Tchols,Mean_HDL,Err_HDL,Mean_bp,Err_bp,smoking_stat
15,WhiteNH,Male,Age_65_74,HS_or_less,6.04956,263.9006364,4.186269465,38.55681336,0.757425517,140.6304352,1.25004882,0
16,WhiteNH,Male,Age_65_74,HS_or_less,1.493,266.7268602,4.152681719,38.24217741,1.079515257,142.7002091,3.386563056,1
1,WhiteNH,Male,Age_65_74,some_coll_,52.0676,181.0949044,1.452269568,64.93747184,0.752715195,111.3251882,0.461989656,0
2,WhiteNH,Male,Age_65_74,some_coll_,6.79734,181.5366868,2.535688882,65.11847081,1.203932451,111.8896598,0.90345545,1
3,WhiteNH,Male,Age_65_74,some_coll_,128.49,186.4036087,1.335496449,63.96527873,0.714627829,136.5348768,0.507731815,0
4,WhiteNH,Male,Age_65_74,some_coll_,10.1684,252.883374,2.390945789,68.06846929,1.608522434,112.1682138,0.761436524,0
5,WhiteNH,Male,Age_65_74,some_coll_,77.7314,168.7504536,1.483978275,41.33642999,0.547042914,112.8723136,0.5127242,0
6,WhiteNH,Male,Age_65_74,some_coll_,8.77261,183.7579345,2.225265685,66.69012196,1.204277936,138.6117063,0.870848039,1
7,WhiteNH,Male,Age_65_74,some_coll_,0,251.9067624,3.690166789,67.08380899,2.058299772,111.4554777,1.184249688,1
8,WhiteNH,Male,Age_65_74,some_coll_,14.8316,173.7850251,2.601122947,39.61312002,0.557514753,112.2245755,0.845493718,1
9,WhiteNH,Male,Age_65_74,some_coll_,128.042,175.7342177,1.4061907,40.52786077,0.504412165,136.1397128,0.613377131,0
10,WhiteNH,Male,Age_65_74,some_coll_,2.96794,254.6419564,2.831867771,40.78729204,0.883074331,113.4121113,0.983434994,0
11,WhiteNH,Male,Age_65_74,some_coll_,23.4048,260.9549478,2.197925023,70.36897232,1.631489081,137.7996883,0.831026203,0
12,WhiteNH,Male,Age_65_74,some_coll_,0.485897,258.6051431,4.695345925,69.29207614,2.491427657,144.3078838,2.653973742,1
13,WhiteNH,Male,Age_65_74,some_coll_,9.20025,176.7602751,2.01551383,39.39260806,0.623671157,136.9084271,0.881945993,1
14,WhiteNH,Male,Age_65_74,some_coll_,0,261.0029002,3.516243963,39.80420108,1.144805517,112.6618583,1.097858019,1
15,WhiteNH,Male,Age_65_74,some_coll_,6.95044,264.1984938,4.466746478,40.3531343,0.783201947,139.511706,1.333630849,0
16,WhiteNH,Male,Age_65_74,some_coll_,2.507,267.0247176,4.238993185,40.03849835,1.164734349,141.5814799,3.408748905,1
1,WhiteNH,Male,Age_75_,HS_or_less,12.4356,176.3495462,1.28665271,62.35677416,0.6423932,116.2766345,0.631995276,0
2,WhiteNH,Male,Age_75_,HS_or_less,0.291942,176.7913287,2.423469018,62.53777313,1.176346498,116.8411062,1.037649025,1
3,WhiteNH,Male,Age_75_,HS_or_less,50.7423,181.6582506,1.130528167,61.38458105,0.610677487,141.4863232,0.701604262,0
4,WhiteNH,Male,Age_75_,HS_or_less,3.38993,248.1380158,2.146932646,65.48777161,1.559011583,117.1196602,0.822470591,0
5,WhiteNH,Male,Age_75_,HS_or_less,26.5304,164.0050954,1.272216258,38.75573231,0.551456122,117.82376,0.608083721,0
6,WhiteNH,Male,Age_75_,HS_or_less,4.87876,179.0125764,2.173998867,64.10942428,1.018803537,143.5631527,0.925208608,1
7,WhiteNH,Male,Age_75_,HS_or_less,0,247.1614042,3.597135073,64.50311131,2.019787243,116.406924,1.03498693,1
8,WhiteNH,Male,Age_75_,HS_or_less,0.450419,169.0396669,2.544615559,37.03242234,0.499118351,117.1760219,0.872667305,1
9,WhiteNH,Male,Age_75_,HS_or_less,78.6838,170.9888596,1.194744198,37.94716309,0.449553557,141.0911592,0.638212325,0
10,WhiteNH,Male,Age_75_,HS_or_less,0.999448,249.8965982,2.797108375,38.20659436,0.840583667,118.3635577,1.036319242,0
11,WhiteNH,Male,Age_75_,HS_or_less,4.63143,256.2095896,2.08343691,67.78827464,1.272450446,142.7511347,1.000499156,0
12,WhiteNH,Male,Age_75_,HS_or_less,0.999056,253.859785,4.360297787,66.71137846,2.275992989,149.2593302,2.818250338,1
13,WhiteNH,Male,Age_75_,HS_or_less,5.5631,172.014917,1.925081076,36.81191038,0.511219775,141.8598735,0.834195232,1
14,WhiteNH,Male,Age_75_,HS_or_less,0,256.2575421,3.687854671,37.2235034,1.132009122,117.6133047,1.149415331,1
15,WhiteNH,Male,Age_75_,HS_or_less,2.05842,259.4531356,4.010498522,37.77243662,0.65874073,144.4631524,1.284834051,0
16,WhiteNH,Male,Age_75_,HS_or_less,0,262.2793595,4.010219427,37.45780067,1.163751134,146.5329263,3.366618114,1
1,WhiteNH,Male,Age_75_,some_coll_,33.5644,176.6474036,1.39761867,64.1530951,0.660190342,115.1579053,0.671303185,0
2,WhiteNH,Male,Age_75_,some_coll_,0.719169,177.0891861,2.465055786,64.33409407,1.174286199,115.722377,1.122149709,1
3,WhiteNH,Male,Age_75_,some_coll_,88.2577,181.956108,1.194837546,63.18090199,0.63402508,140.367594,0.720755648,0
