Race,Gender,Education,Age,Rf,ll,ul
WhiteNH,Female,some_coll_,Age_65_74,1,183.8101094,188.9371786
WhiteNH,Female,some_coll_,Age_65_74,2,182.0485151,191.5823378
WhiteNH,Female,some_coll_,Age_65_74,3,189.4204299,193.9442667
WhiteNH,Female,some_coll_,Age_65_74,4,253.6722666,262.6519606
WhiteNH,Female,some_coll_,Age_65_74,5,170.895163,177.1632234
WhiteNH,Female,some_coll_,Age_65_74,6,185.2231734,192.8501748
WhiteNH,Female,some_coll_,Age_65_74,7,250.3114572,264.0595467
WhiteNH,Female,some_coll_,Age_65_74,8,173.8909554,184.2365739
WhiteNH,Female,some_coll_,Age_65_74,9,178.4558,183.5701146
WhiteNH,Female,some_coll_,Age_65_74,10,254.2774004,265.5639915
WhiteNH,Female,some_coll_,Age_65_74,11,261.9554755,270.5118993
WhiteNH,Female,some_coll_,Age_65_74,12,253.974955,273.7928105
WhiteNH,Female,some_coll_,Age_65_74,13,178.1512572,185.9267723
WhiteNH,Female,some_coll_,Age_65_74,14,259.4839715,273.0793081
WhiteNH,Female,some_coll_,Age_65_74,15,260.7682013,278.1862655
WhiteNH,Female,some_coll_,Age_65_74,16,263.5262212,281.0806932
WhiteNH,Female,HS_or_less,Age_75_,1,179.1370513,184.1195204
WhiteNH,Female,HS_or_less,Age_75_,2,177.3853005,186.7548361
WhiteNH,Female,HS_or_less,Age_75_,3,184.8053762,189.0686042
WhiteNH,Female,HS_or_less,Age_75_,4,249.2715362,257.5619746
WhiteNH,Female,HS_or_less,Age_75_,5,166.2942923,172.2733778
WhiteNH,Female,HS_or_less,Age_75_,6,180.4069736,188.1756584
WhiteNH,Female,HS_or_less,Age_75_,7,245.6584651,259.2218225
WhiteNH,Female,HS_or_less,Age_75_,8,169.1181399,179.5186731
WhiteNH,Female,HS_or_less,Age_75_,9,173.8615973,178.6736011
WhiteNH,Female,HS_or_less,Age_75_,10,249.4734591,260.8772165
WhiteNH,Female,HS_or_less,Age_75_,11,257.2703124,265.7063461
WhiteNH,Female,HS_or_less,Age_75_,12,249.7834911,268.4935581
WhiteNH,Female,HS_or_less,Age_75_,13,173.4029542,181.184359
WhiteNH,Female,HS_or_less,Age_75_,14,254.2842978,268.7882656
WhiteNH,Female,HS_or_less,Age_75_,15,256.8675267,272.5962238
WhiteNH,Female,HS_or_less,Age_75_,16,259.1349431,275.9812551
WhiteNH,Female,some_coll_,Age_75_,1,179.1482482,184.7040383
